symbol,date,period,CashEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivableTradeNet,ReceivablesOther,TotalReceivablesNet,TotalInventory,PrepaidExpenses,OtherCurrentAssetsTotal,TotalCurrentAssets,PropertyPlantEquipmentTotalGross,AccumulatedDepreciationTotal,GoodwillNet,IntangiblesNet,LongTermInvestments,OtherLongTermAssetsTotal,TotalAssets,AccountsPayable,AccruedExpenses,NotesPayableShortTermDebt,CurrentPortofLTDebtCapitalLeases,OtherCurrentliabilitiesTotal,TotalCurrentLiabilities,LongTermDebt,CapitalLeaseObligations,TotalLongTermDebt,TotalDebt,DeferredIncomeTax,MinorityInterest,OtherLiabilitiesTotal,TotalLiabilities,RedeemablePreferredStockTotal,PreferredStockNonRedeemableNet,CommonStockTotal,AdditionalPaidInCapital,RetainedEarningsAccumulatedDeficit,TreasuryStockCommon,OtherEquityTotal,TotalEquity,TotalLiabilitiesShareholdersEquity,SharesOutsCommonStockPrimaryIssue,TotalCommonSharesOutstanding
AXON,2016-09-30,As of,NA,NA,229.66,NA,NA,0.68,NA,4.11,NA,234.44,NA,NA,NA,NA,NA,0.04,234.59,9.51,1.67,0.00,NA,17.47,28.64,NA,NA,0.00,0.00,NA,NA,NA,28.64,NA,NA,0.00,440.44,-234.50,NA,NA,205.94,234.59,NA,99.16
AXON,2016-06-30,As of,NA,NA,252.66,NA,NA,0.80,NA,3.30,NA,256.75,NA,NA,NA,NA,NA,0.32,257.18,2.84,0.89,0.00,NA,13.20,16.93,NA,NA,0.00,0.00,NA,NA,NA,16.93,NA,NA,0.00,432.50,-192.25,NA,NA,240.25,257.18,NA,99.15
AXON,2016-03-31,As of,NA,NA,276.25,NA,NA,0.97,NA,4.87,0.00,282.09,NA,NA,NA,NA,NA,0.32,282.50,0.62,1.89,0.00,NA,13.24,15.76,NA,NA,0.00,0.00,NA,NA,0.00,15.76,NA,NA,0.00,420.93,-154.19,NA,0.00,266.74,282.50,NA,99.15
AXON,2015-12-31,As of,NA,NA,300.00,NA,NA,NA,NA,3.82,0.00,303.82,NA,NA,NA,NA,NA,NA,303.88,3.56,1.20,0.00,NA,11.14,15.89,NA,NA,0.00,0.00,NA,NA,0.00,15.89,NA,NA,0.00,412.51,-124.52,NA,0.00,287.99,303.88,NA,99.15
AXON,2015-09-30,As of,NA,NA,320.21,NA,NA,NA,NA,2.03,0.27,322.51,NA,NA,NA,NA,NA,0.12,322.66,0.70,1.94,0.00,NA,7.74,10.38,NA,NA,0.00,0.00,NA,NA,NA,10.38,NA,NA,0.00,373.45,-61.17,NA,0.00,312.29,322.66,NA,99.15
AXON,2016-03-31,As of,NA,NA,276.25,NA,NA,0.97,NA,4.87,0.00,282.09,NA,NA,NA,NA,NA,0.32,282.50,0.62,1.89,0.00,NA,13.24,15.76,NA,NA,0.00,0.00,NA,NA,0.00,15.76,NA,NA,0.00,420.93,-154.19,NA,0.00,266.74,282.50,NA,99.15
AXON,2015-03-31,As of,NA,NA,NA,NA,NA,NA,NA,0.00,1.10,1.11,NA,NA,NA,NA,NA,NA,1.12,0.40,1.16,0.00,NA,2.31,3.87,NA,NA,0.00,0.00,NA,NA,5.00,8.87,NA,NA,0.00,13.30,-21.05,NA,0.00,-7.75,1.12,NA,92.90
AXP,2016-09-30,As of,NA,NA,2524.00,44821.00,NA,47331.00,NA,NA,NA,NA,9296.00,-4995.00,NA,NA,27724.00,612.00,153377.00,11372.00,NA,56361.00,NA,NA,NA,44894.00,NA,44894.00,101255.00,NA,NA,19733.00,132360.00,NA,NA,184.00,12790.00,10661.00,NA,-2668.00,21017.00,153377.00,NA,917.00
AXP,2016-06-30,As of,NA,NA,2811.00,44800.00,NA,47497.00,NA,NA,NA,NA,9065.00,-4855.00,NA,NA,34848.00,35.00,159642.00,11729.00,NA,56747.00,NA,NA,NA,50649.00,NA,50649.00,107396.00,NA,NA,19805.00,138930.00,NA,NA,185.00,12868.00,10280.00,NA,-2686.00,20712.00,159642.00,NA,925.00
AXP,2016-03-31,As of,NA,NA,2761.00,55716.00,NA,58349.00,NA,NA,NA,NA,11109.00,-6972.00,NA,NA,26123.00,37.00,158816.00,12027.00,NA,58360.00,NA,NA,NA,47311.00,NA,47311.00,105671.00,NA,NA,20391.00,138089.00,NA,NA,191.00,13089.00,9949.00,NA,-2562.00,20727.00,158816.00,NA,951.00
