symbol,date,period,NetIncomeStartingLine,DepreciationDepletion,Amortization,DeferredTaxes,NonCashItems,ChangesinWorkingCapital,CashfromOperatingActivities,CapitalExpenditures,OtherInvestingCashFlowItemsTotal,CashfromInvestingActivities,FinancingCashFlowItems,TotalCashDividendsPaid,IssuanceRetirementofStockNet,IssuanceRetirementofDebtNet,CashfromFinancingActivities,ForeignExchangeEffects,NetChangeinCash,CashInterestPaidSupplemental,CashTaxesPaidSupplemental
AXON,2016-09-30,6 months ending,-80.31,0.02,NA,0.28,19.50,18.94,-41.56,-0.04,NA,-0.04,-5.00,NA,0.01,NA,-4.99,NA,-46.59,NA,0.30
AXON,2016-06-30,3 months ending,-38.05,0.01,NA,0.00,11.56,7.92,-18.57,-0.03,NA,-0.03,-5.00,NA,0.00,NA,-5.00,NA,-23.59,NA,0.00
AXON,2016-03-31,12 months ending,-133.15,0.01,NA,-0.32,77.64,2.47,-53.35,-0.09,-5.25,-5.35,-2.70,NA,337.64,NA,334.94,NA,276.25,NA,1.28
AXON,2015-12-31,9 months ending,-103.47,0.01,NA,NA,69.21,4.12,-30.13,-0.06,-4.76,-4.82,-2.70,NA,337.64,NA,334.94,NA,300.00,NA,0.80
AXON,2016-03-31,12 months ending,-133.15,0.01,NA,-0.32,77.64,2.47,-53.35,-0.09,-5.25,-5.35,-2.70,NA,337.64,NA,334.94,NA,276.25,NA,1.28
AXON,2015-03-31,12 months ending,-21.05,NA,NA,NA,18.30,2.07,-0.68,-0.01,-5.00,-5.01,0.69,NA,5.00,NA,5.69,NA,0.00,NA,NA
AXP,2016-09-30,9 months ending,4583.00,810.00,NA,-1076.00,1591.00,-1022.00,4886.00,-975.00,11105.00,10130.00,-1499.00,-892.00,-3399.00,-5463.00,-11253.00,-5.00,3758.00,NA,NA
AXP,2016-06-30,6 months ending,3441.00,536.00,NA,-852.00,1030.00,-1017.00,3138.00,-649.00,12787.00,12138.00,-594.00,-601.00,-2777.00,-300.00,-4272.00,1.00,11005.00,NA,NA
AXP,2016-03-31,3 months ending,1426.00,261.00,NA,218.00,504.00,60.00,2469.00,-302.00,3942.00,3640.00,773.00,-302.00,-1117.00,-3218.00,-3864.00,38.00,2283.00,NA,NA
AXP,2015-12-31,12 months ending,5163.00,1043.00,NA,506.00,2222.00,2038.00,10972.00,-1341.00,-6852.00,-8193.00,10878.00,-1172.00,-3446.00,-8289.00,-2029.00,-276.00,474.00,1600.00,3400.00
AXP,2015-12-31,12 months ending,5163.00,1043.00,NA,506.00,2222.00,2038.00,10972.00,-1341.00,-6852.00,-8193.00,10878.00,-1172.00,-3446.00,-8289.00,-2029.00,-276.00,474.00,1600.00,3400.00
AXP,2014-12-31,12 months ending,5885.00,1012.00,NA,-941.00,2334.00,2700.00,10990.00,-1195.00,-6772.00,-7967.00,2459.00,-1041.00,-3285.00,1878.00,11.00,-232.00,2802.00,1700.00,2500.00
AXP,2013-12-31,12 months ending,5359.00,1020.00,NA,-283.00,2460.00,-9.00,8547.00,-1006.00,-6263.00,-7269.00,1195.00,-939.00,-3222.00,-925.00,-3891.00,-151.00,-2764.00,2000.00,2000.00
AXP,2012-12-31,12 months ending,4482.00,991.00,NA,218.00,1746.00,-355.00,7082.00,-1053.00,-5492.00,-6545.00,2300.00,-902.00,-3509.00,-1157.00,-3268.00,88.00,-2643.00,2200.00,1900.00
AXR,2016-07-31,3 months ending,0.63,0.37,NA,0.28,0.03,1.92,3.23,-0.04,NA,-0.04,0.00,NA,NA,-6.46,-6.46,NA,-3.27,0.13,0.00
AXR,2016-04-30,12 months ending,-10.22,2.98,NA,-5.28,10.56,5.43,3.47,-0.80,3.60,2.80,1.39,NA,NA,-5.15,-3.76,NA,2.51,1.35,0.91
AXR,2016-01-31,9 months ending,-2.42,2.17,NA,-0.97,0.11,-0.14,-1.25,-0.66,3.60,2.94,1.39,NA,NA,-1.29,0.11,NA,1.81,1.06,1.86
AXR,2015-10-31,6 months ending,-1.85,1.45,NA,-0.57,0.02,-0.94,-1.89,-0.27,NA,-0.27,1.39,NA,NA,1.12,2.51,NA,0.35,0.69,1.86
AXR,2015-07-31,3 months ending,-1.18,0.75,NA,-0.06,0.05,-2.97,-3.41,-0.08,NA,-0.08,1.39,NA,NA,-0.25,1.14,NA,-2.35,0.32,1.85
AXR,2016-04-30,12 months ending,-10.22,2.98,NA,-5.28,10.56,5.43,3.47,-0.80,3.60,2.80,1.39,NA,NA,-5.15,-3.76,NA,2.51,1.35,0.91
AXR,2015-04-30,12 months ending,-3.58,3.26,NA,3.86,2.74,3.68,9.96,-1.13,NA,-1.13,-2.90,NA,0.00,-1.46,-4.36,NA,4.48,1.61,0.19
AXR,2014-04-30,12 months ending,-0.65,3.19,NA,-0.68,1.21,2.42,5.50,-1.26,NA,-1.26,-5.56,NA,7.14,-0.81,0.77,NA,5.00,1.79,-0.04
AXR,2013-04-30,12 months ending,-2.84,3.76,NA,-2.08,5.21,-15.67,-11.61,-1.05,-1.12,-2.17,NA,NA,NA,-0.35,-0.35,NA,-14.13,1.47,0.88
AXSM,2016-09-30,9 months ending,-19.87,0.01,NA,NA,1.60,4.20,-14.06,-0.10,NA,-0.10,0.00,NA,0.01,0.00,0.01,NA,-14.15,NA,NA
AXSM,2016-06-30,6 months ending,-12.68,0.01,NA,NA,1.14,2.27,-9.26,-0.02,NA,-0.02,0.00,NA,NA,0.00,0.00,NA,-9.28,NA,NA
AXSM,2016-03-31,3 months ending,-5.87,0.00,NA,NA,0.66,1.26,-3.95,-0.01,NA,-0.01,0.00,NA,NA,0.00,0.00,NA,-3.96,NA,NA
