symbol,date,period,Revenue,OtherRevenueTotal,TotalRevenue,CostofRevenueTotal,GrossProfit,SellingGeneralAdminExpensesTotal,ResearchDevelopment,DepreciationAmortization,InterestExpenseIncomeNetOperating,UnusualExpenseIncome,OtherOperatingExpensesTotal,TotalOperatingExpense,OperatingIncome,InterestIncomeExpenseNetNonOperating,GainLossonSaleofAssets,OtherNet,IncomeBeforeTax,IncomeAfterTax,MinorityInterest,EquityInAffiliates,NetIncomeBeforeExtraItems,AccountingChange,DiscontinuedOperations,ExtraordinaryItem,NetIncome,PreferredDividends,IncomeAvailabletoCommonExclExtraItems,IncomeAvailabletoCommonInclExtraItems,BasicWeightedAverageShares,BasicEPSExcludingExtraordinaryItems,BasicEPSIncludingExtraordinaryItems,DilutionAdjustment,DilutedWeightedAverageShares,DilutedEPSExcludingExtraordinaryItems,DilutedEPSIncludingExtraordinaryItems,DividendsperShareCommonStockPrimaryIssue,GrossDividendsCommonStock,NetIncomeafterStockBasedCompExpense,BasicEPSafterStockBasedCompExpense,DilutedEPSafterStockBasedCompExpense,DepreciationSupplemental,TotalSpecialItems,NormalizedIncomeBeforeTaxes,EffectofSpecialItemsonIncomeTaxes,IncomeTaxesExImpactofSpecialItems,NormalizedIncomeAfterTaxes,NormalizedIncomeAvailtoCommon,BasicNormalizedEPS,DilutedNormalizedEPS
AXON,2016-09-30,3 months ending,NA,NA,0.00,NA,NA,9.45,32.07,NA,NA,NA,NA,41.52,-41.52,NA,NA,NA,-41.52,-42.25,NA,NA,-42.25,NA,NA,NA,-42.25,NA,-42.25,-42.25,NA,NA,NA,NA,99.16,-0.43,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43
AXON,2016-06-30,3 months ending,NA,NA,0.00,NA,NA,12.63,25.28,NA,NA,NA,NA,37.91,-37.91,NA,NA,NA,-37.91,-38.05,NA,NA,-38.05,NA,NA,NA,-38.05,NA,-38.05,-38.05,NA,NA,NA,NA,99.15,-0.38,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38
AXON,2016-03-31,3 months ending,NA,NA,0.00,NA,NA,7.15,23.43,NA,NA,NA,NA,30.59,-30.59,NA,NA,NA,-30.59,-29.67,NA,NA,-29.67,NA,NA,NA,-29.67,NA,-29.67,-29.67,NA,NA,NA,NA,99.12,-0.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.30
AXON,2015-12-31,3 months ending,NA,NA,0.00,NA,NA,28.23,34.32,NA,NA,NA,NA,62.55,-62.55,NA,NA,NA,-62.55,-63.36,NA,NA,-63.36,NA,NA,NA,-63.36,NA,-63.36,-63.36,NA,NA,NA,NA,99.15,-0.64,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.64
AXON,2015-09-30,3 months ending,NA,NA,0.00,NA,NA,3.76,8.28,NA,NA,NA,NA,12.04,-12.04,NA,NA,NA,-12.04,-12.06,NA,NA,-12.06,NA,NA,NA,-12.06,NA,-12.06,-12.06,NA,NA,NA,NA,99.15,-0.12,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12
AXON,2016-03-31,12 months ending,NA,NA,0.00,NA,NA,56.52,76.64,NA,NA,NA,NA,133.16,-133.16,NA,NA,NA,-133.16,-133.15,NA,NA,-133.15,NA,NA,NA,-133.15,NA,-133.15,-133.15,NA,NA,NA,NA,94.47,-1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.41
AXON,2015-03-31,6 months ending,NA,NA,0.00,NA,NA,6.72,14.32,NA,NA,NA,NA,21.05,-21.05,NA,NA,NA,-21.05,-21.05,NA,NA,-21.05,NA,NA,NA,-21.05,NA,-21.05,-21.05,NA,NA,NA,0.00,92.90,-0.23,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.23
AXP,2016-09-30,3 months ending,7924.00,NA,7924.00,1994.00,5930.00,3320.00,NA,NA,NA,67.00,808.00,6189.00,1735.00,NA,NA,NA,1735.00,1142.00,NA,NA,1142.00,NA,NA,NA,1142.00,NA,1112.00,1112.00,NA,NA,NA,0.00,923.00,1.20,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25
AXP,2016-06-30,3 months ending,8385.00,NA,8385.00,2197.00,6188.00,3385.00,NA,NA,NA,-1034.00,821.00,5369.00,3016.00,NA,NA,NA,3016.00,2015.00,NA,NA,2015.00,NA,NA,NA,2015.00,NA,1979.00,1979.00,NA,NA,NA,0.00,941.00,2.10,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37
AXP,2016-03-31,3 months ending,8238.00,NA,8238.00,2135.00,6103.00,3217.00,NA,NA,NA,-69.00,771.00,6054.00,2184.00,NA,NA,NA,2184.00,1426.00,NA,NA,1426.00,NA,NA,NA,1426.00,NA,1394.00,1394.00,NA,NA,NA,NA,963.00,1.45,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40
AXP,2015-12-31,3 months ending,8529.00,NA,8529.00,2171.00,6358.00,3455.00,NA,NA,NA,445.00,973.00,7075.00,1454.00,NA,NA,NA,1454.00,899.00,NA,NA,899.00,NA,NA,NA,899.00,NA,873.00,873.00,NA,NA,NA,0.00,979.00,0.89,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17
AXP,2015-09-30,3 months ending,8318.00,NA,8318.00,2153.00,6165.00,3353.00,NA,NA,NA,64.00,825.00,6380.00,1938.00,NA,NA,NA,1938.00,1266.00,NA,NA,1266.00,NA,NA,NA,1266.00,NA,1234.00,1234.00,NA,NA,NA,NA,997.00,1.24,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28
AXP,2015-12-31,12 months ending,33293.00,NA,33293.00,8484.00,24809.00,13034.00,NA,NA,NA,692.00,3101.00,25355.00,7938.00,NA,NA,NA,7938.00,5163.00,NA,NA,5163.00,NA,NA,NA,5163.00,NA,5063.00,5063.00,NA,NA,NA,0.00,1003.00,5.05,NA,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.50
AXP,2014-12-31,12 months ending,34665.00,NA,34665.00,8122.00,26543.00,14613.00,NA,NA,NA,-261.00,3395.00,25674.00,8991.00,NA,NA,NA,8991.00,5885.00,NA,NA,5885.00,NA,NA,NA,5885.00,NA,5839.00,5839.00,NA,NA,NA,NA,1051.00,5.56,NA,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.39
AXP,2013-12-31,12 months ending,33416.00,NA,33416.00,7666.00,25750.00,14619.00,NA,NA,NA,278.00,2912.00,25528.00,7888.00,NA,NA,NA,7888.00,5359.00,NA,NA,5359.00,NA,NA,NA,5359.00,NA,5312.00,5312.00,NA,NA,NA,NA,1089.00,4.88,NA,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05
AXP,2012-12-31,12 months ending,32035.00,NA,32035.00,7534.00,24501.00,14656.00,NA,NA,NA,278.00,3218.00,25584.00,6451.00,NA,NA,NA,6451.00,4482.00,NA,NA,4482.00,NA,NA,NA,4482.00,NA,4433.00,4433.00,NA,NA,NA,NA,1141.00,3.89,NA,0.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05
AXR,2016-07-31,3 months ending,12.21,NA,12.21,9.66,2.55,1.35,NA,NA,NA,NA,NA,11.24,0.97,NA,NA,NA,0.97,0.63,NA,NA,0.63,NA,NA,NA,0.63,NA,0.63,0.63,NA,NA,NA,NA,8.04,0.08,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08
AXR,2016-04-30,3 months ending,8.67,NA,8.67,7.93,0.74,1.67,NA,NA,NA,10.41,NA,20.29,-11.62,NA,NA,NA,-11.62,-7.80,NA,NA,-7.80,NA,NA,NA,-7.80,NA,-7.80,-7.80,NA,NA,NA,NA,8.04,-0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.13
AXR,2016-01-31,3 months ending,12.20,NA,12.20,11.08,1.11,1.58,NA,NA,NA,NA,NA,13.00,-0.81,NA,NA,NA,-0.81,-0.57,NA,NA,-0.57,NA,NA,NA,-0.57,NA,-0.57,-0.57,NA,NA,NA,NA,8.04,-0.07,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.07
AXR,2015-10-31,3 months ending,11.22,NA,11.22,10.14,1.08,1.83,NA,NA,NA,NA,NA,12.33,-1.11,NA,NA,NA,-1.11,-0.68,NA,NA,-0.68,NA,NA,NA,-0.68,NA,-0.68,-0.68,NA,NA,NA,NA,8.04,-0.08,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08
AXR,2015-07-31,3 months ending,9.57,NA,9.57,9.22,0.36,1.88,NA,NA,NA,0.00,NA,11.48,-1.90,NA,NA,NA,-1.90,-1.18,NA,NA,-1.18,NA,NA,NA,-1.18,NA,-1.18,-1.18,NA,NA,NA,NA,8.03,-0.15,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15
AXR,2016-04-30,12 months ending,41.66,NA,41.66,38.37,3.29,6.96,NA,NA,NA,10.41,NA,57.10,-15.44,NA,NA,NA,-15.44,-10.22,NA,NA,-10.22,NA,NA,NA,-10.22,NA,-10.22,-10.22,NA,NA,NA,NA,8.04,-1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43
AXR,2015-04-30,12 months ending,49.79,NA,49.79,43.23,6.55,8.08,NA,NA,NA,2.58,NA,55.51,-5.72,NA,NA,NA,-5.72,-3.58,NA,NA,-3.58,NA,NA,NA,11.32,NA,-3.58,11.32,NA,NA,NA,NA,7.92,-0.45,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.24
AXR,2014-04-30,12 months ending,62.20,NA,62.20,52.42,9.78,8.59,NA,NA,NA,0.69,NA,63.41,-1.21,NA,NA,NA,-1.21,-0.65,NA,NA,-0.65,NA,NA,NA,-2.94,NA,-0.65,-2.94,NA,NA,NA,NA,6.99,-0.09,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03
AXR,2013-04-30,12 months ending,83.00,NA,83.00,70.62,12.38,12.62,NA,NA,NA,1.51,1.34,87.60,-4.60,NA,NA,NA,-4.60,-2.84,NA,NA,-2.84,NA,NA,NA,-2.84,NA,-2.84,-2.84,NA,NA,NA,NA,6.00,-0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.31
AXSM,2016-09-30,3 months ending,NA,NA,0.00,NA,NA,1.64,5.57,NA,NA,0.00,NA,7.21,-7.21,NA,NA,NA,-7.19,-7.19,NA,NA,-7.19,NA,NA,NA,-7.19,NA,-7.19,-7.19,NA,NA,NA,NA,19.15,-0.38,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38
AXSM,2016-06-30,3 months ending,NA,NA,0.00,NA,NA,1.53,5.30,NA,NA,NA,NA,6.83,-6.83,NA,NA,NA,-6.81,-6.81,NA,NA,-6.81,NA,NA,NA,-6.81,NA,-6.81,-6.81,NA,NA,NA,NA,19.15,-0.36,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36
AXSM,2016-03-31,3 months ending,NA,NA,0.00,NA,NA,1.36,4.53,NA,NA,NA,NA,5.88,-5.88,NA,NA,NA,-5.87,-5.87,NA,NA,-5.87,NA,NA,NA,-5.87,NA,-5.87,-5.87,NA,NA,NA,NA,19.15,-0.31,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.31
AXSM,2015-12-31,3 months ending,NA,NA,0.00,NA,NA,0.95,2.21,NA,NA,0.00,NA,3.15,-3.15,NA,NA,0.00,-1.71,-1.71,NA,NA,-1.71,NA,NA,NA,-1.71,NA,-1.71,-1.71,NA,NA,NA,NA,14.28,-0.12,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12
AXSM,2015-09-30,3 months ending,NA,NA,0.00,NA,NA,0.50,1.52,NA,NA,2.44,NA,4.47,-4.47,NA,NA,0.00,-4.58,-4.58,NA,NA,-4.58,NA,NA,NA,-4.58,NA,-4.58,-4.58,NA,NA,NA,NA,17.72,-0.26,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12
AXSM,2015-12-31,12 months ending,NA,NA,0.00,NA,NA,2.42,6.78,NA,NA,2.44,NA,11.64,-11.64,NA,NA,0.00,-10.56,-10.56,NA,NA,-10.56,NA,NA,NA,-10.56,NA,-10.56,-10.56,NA,NA,NA,NA,11.95,-0.88,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.68
AXSM,2014-12-31,12 months ending,NA,NA,0.00,NA,NA,1.39,4.28,NA,NA,2.87,NA,8.54,-8.54,NA,NA,0.18,-6.00,-6.00,NA,NA,-6.00,NA,NA,NA,-6.00,NA,-6.00,-6.00,NA,NA,NA,0.00,17.72,-0.34,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18
