"market","symbol","name","ipoyear","sector","industry","quote"
"NYSE","A","Agilent Technologies, Inc.","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/a"
"NYSE","AA","Alcoa Inc.","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa"
"NYSE","AA$","Alcoa Inc.","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aa$"
"NASDAQ","AAAP","Advanced Accelerator Applications S.A.","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aaap"
"NYSE","AAC","AAC Holdings, Inc.","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aac"
"NASDAQ","AAL","American Airlines Group, Inc.","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/aal"
"NASDAQ","AAME","Atlantic American Corporation","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aame"
"NYSE","AAN","Aaron&#39;s,  Inc.","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan"
"NASDAQ","AAOI","Applied Optoelectronics, Inc.","2013","Technology","Semiconductors","http://www.nasdaq.com/symbol/aaoi"
"NASDAQ","AAON","AAON, Inc.","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon"
"NYSE","AAP","Advance Auto Parts Inc","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/aap"
"NASDAQ","AAPC","Atlantic Alliance Partnership Corp.","2015","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/aapc"
"NASDAQ","AAPL","Apple Inc.","1980","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/aapl"
"NYSE","AAT","American Assets Trust, Inc.","2011","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aat"
"NYSE","AAV","Advantage Oil & Gas Ltd","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aav"
"NASDAQ","AAWW","Atlas Air Worldwide Holdings","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/aaww"
"NASDAQ","AAXJ","iShares MSCI All Country Asia ex Japan Index Fund","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aaxj"
"NYSE","AA^B","Alcoa Inc.","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aa^b"
"NYSE","AB","AllianceBernstein Holding L.P.","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/ab"
"NASDAQ","ABAC","Aoxin Tianli Group, Inc.","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/abac"
"NASDAQ","ABAX","ABAXIS, Inc.","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax"
"NYSE","ABB","ABB Ltd","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb"
"NYSE","ABBV","AbbVie Inc.","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abbv"
"NYSE","ABC","AmerisourceBergen Corporation (Holding Co)","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/abc"
"NASDAQ","ABCB","Ameris Bancorp","1994","Finance","Major Banks","http://www.nasdaq.com/symbol/abcb"
"NASDAQ","ABCD","Cambium Learning Group, Inc.","n/a","Consumer Services","Publishing","http://www.nasdaq.com/symbol/abcd"
"NASDAQ","ABCO","The Advisory Board Company","2001","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/abco"
"NASDAQ","ABDC","Alcentra Capital Corp.","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abdc"
"NASDAQ","ABEO","Abeona Therapeutics Inc.","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeo"
"NASDAQ","ABEOW","Abeona Therapeutics Inc.","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeow"
"NYSE","ABEV","Ambev S.A.","2013","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/abev"
"NYSE","ABG","Asbury Automotive Group Inc","2002","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/abg"
"NASDAQ","ABIL","Ability Inc.","2014","Finance","Business Services","http://www.nasdaq.com/symbol/abil"
"NASDAQ","ABIO","ARCA biopharma, Inc.","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/abio"
"NYSE","ABM","ABM Industries Incorporated","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm"
"NASDAQ","ABMD","ABIOMED, Inc.","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd"
"NYSE","ABR","Arbor Realty Trust","2004","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/abr"
"NYSE","ABRN","Arbor Realty Trust","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/abrn"
"NYSE","ABR^A","Arbor Realty Trust","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abr^a"
"NYSE","ABR^B","Arbor Realty Trust","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abr^b"
"NYSE","ABR^C","Arbor Realty Trust","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abr^c"
"NYSE","ABT","Abbott Laboratories","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt"
"NASDAQ","ABTL","Autobytel Inc.","1999","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/abtl"
"NASDAQ","ABTX","Allegiance Bancshares, Inc.","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/abtx"
"NASDAQ","ABUS","Arbutus Biopharma Corporation","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abus"
"NYSE","ABX","Barrick Gold Corporation","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/abx"
"NASDAQ","ABY","Atlantica Yield plc","2014","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aby"
"NYSE","AC","Associated Capital Group, Inc.","2015","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ac"
"NASDAQ","ACAD","ACADIA Pharmaceuticals Inc.","1985","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad"
"NASDAQ","ACAS","American Capital, Ltd.","1997","n/a","n/a","http://www.nasdaq.com/symbol/acas"
"NASDAQ","ACAT","Arctic Cat Inc.","1990","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/acat"
"NASDAQ","ACBI","Atlantic Capital Bancshares, Inc.","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acbi"
"NYSE","ACC","American Campus Communities Inc","2004","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/acc"
"NYSE","ACCO","Acco Brands Corporation","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/acco"
"NASDAQ","ACET","Aceto Corporation","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/acet"
"NASDAQ","ACFC","Atlantic Coast Financial Corporation","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/acfc"
"NASDAQ","ACGL","Arch Capital Group Ltd.","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/acgl"
