주요재무정보,2015/03,2015/06,2015/09,2015/12,2016/03,2016/06(E),2016/09(E),2016/12(E),code,name
매출액,1448.0,1314.0,1582.0,1300.0,1407.0,1436.0,1677.0,1567.0,007810,코리아써키트
영업이익,147.0,111.0,133.0,80.0,106.0,110.0,131.0,119.0,007810,코리아써키트
세전계속사업이익,68.0,31.0,83.0,-13.0,26.0,112.0,140.0,122.0,007810,코리아써키트
당기순이익,33.0,6.0,49.0,-14.0,11.0,95.0,106.0,93.0,007810,코리아써키트
당기순이익(지배),14.0,-2.0,39.0,-10.0,2.0,63.0,,,007810,코리아써키트
당기순이익(비지배),20.0,8.0,11.0,-4.0,9.0,,,,007810,코리아써키트
자산총계,5658.0,5721.0,5841.0,5270.0,5254.0,,,5841.0,007810,코리아써키트
부채총계,1677.0,1697.0,1782.0,1282.0,1288.0,,,1513.0,007810,코리아써키트
자본총계,3982.0,4024.0,4060.0,3988.0,3967.0,,,4328.0,007810,코리아써키트
자본총계(지배),3578.0,3593.0,3627.0,3584.0,3555.0,,,3924.0,007810,코리아써키트
자본총계(비지배),404.0,431.0,432.0,404.0,412.0,,,,007810,코리아써키트
자본금,137.0,137.0,137.0,137.0,137.0,,,137.0,007810,코리아써키트
영업활동현금흐름,-109.0,145.0,109.0,471.0,93.0,,,,007810,코리아써키트
투자활동현금흐름,-233.0,-141.0,116.0,-62.0,-42.0,,,,007810,코리아써키트
재무활동현금흐름,219.0,40.0,73.0,-360.0,-35.0,,,,007810,코리아써키트
CAPEX,32.0,169.0,74.0,62.0,13.0,,,,007810,코리아써키트
FCF,-141.0,-24.0,34.0,409.0,81.0,,,,007810,코리아써키트
이자발생부채,581.0,645.0,717.0,356.0,323.0,,,,007810,코리아써키트
영업이익률,10.14,8.43,8.41,6.15,7.53,7.66,7.81,7.59,007810,코리아써키트
순이익률,2.3,0.45,3.12,-1.1,0.75,6.62,6.32,5.93,007810,코리아써키트
ROE(%),-0.06,2.66,3.86,1.1,0.78,,,,007810,코리아써키트
ROA(%),0.77,2.39,2.87,1.39,0.94,,,,007810,코리아써키트
부채비율,42.11,42.16,43.89,32.15,32.46,,,34.96,007810,코리아써키트
자본유보율,2501.23,2499.58,2527.8,2513.91,2494.03,,,,007810,코리아써키트
EPS(원),49.0,-8.0,141.0,-37.0,6.0,230.0,,,007810,코리아써키트
PER(배),-1776.84,28.74,19.68,74.25,111.04,,,,007810,코리아써키트
BPS(원),13071.0,13127.0,13254.0,13095.0,12989.0,,,14337.0,007810,코리아써키트
PBR(배),1.09,0.75,0.75,0.82,0.87,,,0.65,007810,코리아써키트
현금DPS(원),0.0,0.0,0.0,100.0,,,,,007810,코리아써키트
현금배당수익률,,,,,,,,,007810,코리아써키트
현금배당성향(%),0.0,0.0,0.0,-268.99,,,,,007810,코리아써키트
발행주식수(보통주),23620751.0,23620751.0,23620751.0,23620751.0,23620751.0,,,,007810,코리아써키트
주요재무정보,2015/03,2015/06,2015/09,2015/12,2016/03,2016/06(E),2016/09(E),2016/12(E),code,name
매출액,1083.0,1054.0,1358.0,1046.0,1150.0,1166.0,1503.0,1158.0,049520,유아이엘
영업이익,65.0,41.0,81.0,54.0,44.0,37.0,80.0,47.0,049520,유아이엘
세전계속사업이익,78.0,23.0,110.0,16.0,42.0,53.0,99.0,72.0,049520,유아이엘
당기순이익,55.0,2.0,84.0,-7.0,30.0,25.0,63.0,41.0,049520,유아이엘
당기순이익(지배),55.0,2.0,84.0,-7.0,30.0,25.0,63.0,41.0,049520,유아이엘
당기순이익(비지배),,,,,,,,,049520,유아이엘
자산총계,2448.0,2173.0,2630.0,2375.0,2415.0,2406.0,2607.0,2570.0,049520,유아이엘
부채총계,1074.0,800.0,1157.0,919.0,994.0,927.0,1064.0,985.0,049520,유아이엘
자본총계,1374.0,1373.0,1473.0,1456.0,1421.0,1479.0,1543.0,1584.0,049520,유아이엘
자본총계(지배),1374.0,1373.0,1473.0,1456.0,1421.0,1479.0,1543.0,1584.0,049520,유아이엘
자본총계(비지배),,,,,,,,,049520,유아이엘
자본금,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,049520,유아이엘
영업활동현금흐름,11.0,238.0,158.0,-60.0,-51.0,153.0,69.0,287.0,049520,유아이엘
투자활동현금흐름,-5.0,-57.0,-21.0,-13.0,-96.0,-77.0,-61.0,-11.0,049520,유아이엘
재무활동현금흐름,,-168.0,,0.0,,-96.0,-36.0,-36.0,049520,유아이엘
CAPEX,36.0,71.0,94.0,15.0,53.0,49.0,65.0,11.0,049520,유아이엘
FCF,-26.0,167.0,63.0,-75.0,-104.0,50.0,-48.0,217.0,049520,유아이엘
이자발생부채,250.0,141.0,144.0,147.0,149.0,,,,049520,유아이엘
영업이익률,6.04,3.86,5.95,5.15,3.85,3.21,5.32,4.07,049520,유아이엘
순이익률,5.08,0.22,6.21,-0.68,2.65,2.11,4.21,3.52,049520,유아이엘
ROE(%),18.51,13.99,14.01,9.5,7.87,,,,049520,유아이엘
ROA(%),10.1,8.65,8.0,5.7,4.52,,,,049520,유아이엘
부채비율,78.18,58.25,78.57,63.13,69.92,62.68,68.97,62.18,049520,유아이엘
자본유보율,2551.45,2555.45,2703.59,2693.22,2641.85,,,,049520,유아이엘
EPS(원),483.0,20.0,741.0,-62.0,267.0,216.0,555.0,358.0,049520,유아이엘
PER(배),8.19,7.51,6.25,10.42,12.53,,,,049520,유아이엘
BPS(원),14274.0,14267.0,15298.0,15125.0,14762.0,15363.0,16028.0,16460.0,049520,유아이엘
PBR(배),1.23,0.86,0.72,0.81,0.82,0.64,0.61,0.6,049520,유아이엘
현금DPS(원),0.0,0.0,0.0,620.0,,,,,049520,유아이엘
현금배당수익률,,,,,,,,,049520,유아이엘
현금배당성향(%),0.0,0.0,0.0,-839.78,,,,,049520,유아이엘
발행주식수(보통주),11392470.0,11392470.0,11392470.0,11392470.0,11392470.0,,,,049520,유아이엘
주요재무정보,2015/03,2015/06,2015/09,2015/12,2016/03,2016/06(E),2016/09(E),2016/12(E),code,name
매출액,76.0,,121.0,71.0,77.0,,,,189980,흥국에프엔비
영업이익,15.0,,26.0,5.0,8.0,,,,189980,흥국에프엔비
세전계속사업이익,14.0,,25.0,5.0,8.0,,,,189980,흥국에프엔비
당기순이익,11.0,,19.0,4.0,7.0,,,,189980,흥국에프엔비
당기순이익(지배),11.0,,19.0,4.0,7.0,,,,189980,흥국에프엔비
당기순이익(비지배),,,,,,,,,189980,흥국에프엔비
자산총계,455.0,,771.0,751.0,676.0,,,700.0,189980,흥국에프엔비
부채총계,204.0,,135.0,111.0,144.0,,,110.0,189980,흥국에프엔비
자본총계,251.0,,636.0,640.0,532.0,,,600.0,189980,흥국에프엔비
자본총계(지배),251.0,,636.0,640.0,532.0,,,600.0,189980,흥국에프엔비
자본총계(비지배),,,,,,,,,189980,흥국에프엔비
자본금,28.0,,37.0,37.0,37.0,,,40.0,189980,흥국에프엔비
영업활동현금흐름,-2.0,,,16.0,-10.0,,,,189980,흥국에프엔비
투자활동현금흐름,-41.0,,,-37.0,16.0,,,,189980,흥국에프엔비
재무활동현금흐름,19.0,,,-2.0,-87.0,,,,189980,흥국에프엔비
CAPEX,32.0,,0.0,31.0,14.0,,,,189980,흥국에프엔비
FCF,-34.0,,0.0,-15.0,-25.0,,,,189980,흥국에프엔비
이자발생부채,148.0,,75.0,74.0,102.0,,,,189980,흥국에프엔비
영업이익률,19.91,,21.38,7.71,10.92,,,,189980,흥국에프엔비
순이익률,14.81,,15.44,5.52,8.59,,,,189980,흥국에프엔비
ROE(%),,,,,,,,,189980,흥국에프엔비
ROA(%),,,,,,,,,189980,흥국에프엔비
부채비율,81.32,,21.2,17.29,27.0,,,18.33,189980,흥국에프엔비
자본유보율,881.68,,1632.06,1644.04,1622.05,,,,189980,흥국에프엔비
EPS(원),205.0,,281.0,53.0,90.0,,,,189980,흥국에프엔비
PER(배),,,,,,,,,189980,흥국에프엔비
BPS(원),4545.0,,8663.0,8721.0,7583.0,,,8544.0,189980,흥국에프엔비
PBR(배),0.0,,4.43,4.11,3.53,,,2.52,189980,흥국에프엔비
현금DPS(원),0.0,0.0,0.0,200.0,,,,,189980,흥국에프엔비
현금배당수익률,,,,,,,,,189980,흥국에프엔비
현금배당성향(%),0.0,,0.0,376.01,,,,,189980,흥국에프엔비
발행주식수(보통주),5166250.0,5166250.0,7341291.0,7341291.0,7341291.0,,,,189980,흥국에프엔비
주요재무정보,2015/03(IFRS별도),2015/06(IFRS별도),2015/09(IFRS별도),2015/12(IFRS별도),2016/03(IFRS별도),2016/06(E)(IFRS별도),2016/09(E)(IFRS별도),2016/12(E)(IFRS별도),code,name
매출액,2.0,2.0,2.0,2.0,2.0,,,,083610,아시아14호
영업이익,1.0,1.0,1.0,1.0,1.0,,,,083610,아시아14호
세전계속사업이익,1.0,1.0,1.0,1.0,1.0,,,,083610,아시아14호
당기순이익,1.0,1.0,1.0,1.0,1.0,,,,083610,아시아14호
당기순이익(지배),1.0,1.0,1.0,1.0,1.0,,,,083610,아시아14호
당기순이익(비지배),,,,,,,,,083610,아시아14호
자산총계,98.0,98.0,98.0,98.0,98.0,,,,083610,아시아14호
부채총계,1.0,1.0,1.0,1.0,1.0,,,,083610,아시아14호
자본총계,97.0,97.0,97.0,97.0,97.0,,,,083610,아시아14호
자본총계(지배),97.0,97.0,97.0,97.0,97.0,,,,083610,아시아14호
자본총계(비지배),,,,,,,,,083610,아시아14호
자본금,97.0,97.0,97.0,97.0,97.0,,,,083610,아시아14호
영업활동현금흐름,1.0,1.0,1.0,1.0,1.0,,,,083610,아시아14호
투자활동현금흐름,,,,,,,,,083610,아시아14호
재무활동현금흐름,-1.0,-1.0,-1.0,-1.0,-1.0,,,,083610,아시아14호
CAPEX,0.0,0.0,0.0,0.0,0.0,,,,083610,아시아14호
FCF,1.0,1.0,1.0,1.0,1.0,,,,083610,아시아14호
이자발생부채,,,,,,,,,083610,아시아14호
영업이익률,87.27,87.2,87.34,86.76,86.76,,,,083610,아시아14호
순이익률,87.31,87.31,87.21,86.89,86.75,,,,083610,아시아14호
ROE(%),5.9,5.9,5.9,5.9,5.92,,,,083610,아시아14호
ROA(%),5.85,5.85,5.85,5.85,5.87,,,,083610,아시아14호
부채비율,0.83,0.86,0.88,0.92,0.85,,,,083610,아시아14호
자본유보율,0.02,0.02,0.02,0.02,0.02,,,,083610,아시아14호
EPS(원),73.0,74.0,74.0,74.0,74.0,,,,083610,아시아14호
PER(배),17.12,17.25,17.02,16.76,16.07,,,,083610,아시아14호
BPS(원),5001.0,5001.0,5001.0,5001.0,5001.0,,,,083610,아시아14호
PBR(배),1.01,1.02,1.0,0.99,0.95,,,,083610,아시아14호
현금DPS(원),74.0,72.0,74.0,74.0,76.0,,,,083610,아시아14호
현금배당수익률,1.46,1.4,1.46,1.48,1.54,,,,083610,아시아14호
현금배당성향(%),101.11,97.8,100.0,100.0,103.3,,,,083610,아시아14호
발행주식수(보통주),1946194.0,1946194.0,1946194.0,1946194.0,1946194.0,,,,083610,아시아14호
주요재무정보,2015/03,2015/06,2015/09,2015/12,2016/03,2016/06(E),2016/09(E),2016/12(E),code,name
매출액,18337.0,19796.0,17298.0,16699.0,14336.0,16033.0,14484.0,14901.0,042670,두산인프라코어
영업이익,755.0,1285.0,200.0,-1966.0,1112.0,1380.0,987.0,1019.0,042670,두산인프라코어
세전계속사업이익,-232.0,581.0,-1871.0,-5118.0,959.0,1327.0,290.0,319.0,042670,두산인프라코어
당기순이익,-439.0,95.0,-2121.0,-6130.0,796.0,1620.0,-180.0,-120.0,042670,두산인프라코어
당기순이익(지배),-450.0,65.0,-2111.0,-5696.0,470.0,2208.0,190.0,225.0,042670,두산인프라코어
당기순이익(비지배),11.0,30.0,-11.0,-434.0,325.0,,,,042670,두산인프라코어
자산총계,118211.0,119198.0,123386.0,113832.0,112663.0,113686.0,107733.0,107312.0,042670,두산인프라코어
부채총계,88127.0,87871.0,85657.0,82802.0,80516.0,77062.0,71062.0,75367.0,042670,두산인프라코어
자본총계,30084.0,31327.0,37729.0,31030.0,32147.0,36624.0,36671.0,33265.0,042670,두산인프라코어
자본총계(지배),25645.0,26586.0,25858.0,20214.0,20962.0,24904.0,24936.0,21583.0,042670,두산인프라코어
자본총계(비지배),4439.0,4741.0,11871.0,10816.0,11185.0,,,,042670,두산인프라코어
자본금,10373.0,10373.0,10373.0,10373.0,10373.0,10373.0,10373.0,10326.0,042670,두산인프라코어
영업활동현금흐름,-137.0,10.0,6.0,2488.0,431.0,8165.0,3891.0,4036.0,042670,두산인프라코어
투자활동현금흐름,-662.0,612.0,-414.0,-505.0,739.0,-673.0,-651.0,-810.0,042670,두산인프라코어
재무활동현금흐름,625.0,-63.0,1193.0,-936.0,-2461.0,163.0,-3297.0,3030.0,042670,두산인프라코어
CAPEX,186.0,660.0,515.0,787.0,548.0,550.0,550.0,550.0,042670,두산인프라코어
FCF,-323.0,-650.0,-510.0,1701.0,-117.0,2166.0,1337.0,1638.0,042670,두산인프라코어
이자발생부채,61296.0,61918.0,61861.0,60217.0,56140.0,,,,042670,두산인프라코어
영업이익률,4.12,6.49,1.16,-11.77,7.76,8.61,6.82,6.84,042670,두산인프라코어
순이익률,-2.39,0.48,-12.26,-36.71,5.55,10.1,-1.24,-0.8,042670,두산인프라코어
ROE(%),-0.24,-3.02,-11.41,-33.98,-31.2,,,,042670,두산인프라코어
ROA(%),-0.18,-0.77,-2.69,-7.36,-6.38,,,,042670,두산인프라코어
부채비율,292.93,280.49,227.03,266.85,250.46,210.41,193.78,226.57,042670,두산인프라코어
자본유보율,143.55,143.61,123.26,69.5,73.15,,,,042670,두산인프라코어
EPS(원),-217.0,31.0,-1017.0,-2746.0,227.0,1064.0,91.0,108.0,042670,두산인프라코어
PER(배),-366.04,-24.15,-4.33,-1.19,-1.86,,,,042670,두산인프라코어
BPS(원),12362.0,12815.0,12464.0,9744.0,10104.0,12005.0,12020.0,10404.0,042670,두산인프라코어
