재무년월,"매출액(억원, %)",YoY,"영업이익(억원, %)","당기순이익(억원, %)",EPS(원),PER(배),PBR(배),ROE(%),EV/EBITDA(배),순부채비율(%),주재무제표,code,name
2015.09(A),1582,20.77,133,39.0,141.0,70.29,0.75,1.07,13.11,1.78,IFRS연결,007810,코리아써키트
2015.12(A),1300,-20.98,80,-10.0,-37.0,-287.2,0.82,-0.28,23.33,-10.99,IFRS연결,007810,코리아써키트
2016.03(A),1407,-2.77,106,2.0,6.0,1910.61,0.87,0.04,17.88,-9.76,IFRS연결,007810,코리아써키트
2016.06(E),1436,9.31,110,63.0,230.0,40.32,,,,,IFRS연결,007810,코리아써키트
2016.09(E),1677,6.02,131,,,,,,,,IFRS연결,007810,코리아써키트
재무년월,"매출액(억원, %)",YoY,"영업이익(억원, %)","당기순이익(억원, %)",EPS(원),PER(배),PBR(배),ROE(%),EV/EBITDA(배),순부채비율(%),주재무제표,code,name
2015.09(A),1358,34.95,81,84,741,14.78,0.72,5.93,6.1,-25.97,IFRS연결,049520,유아이엘
2015.12(A),1046,6.78,54,-7,-62,-197.18,0.81,-0.48,25.69,-23.12,IFRS연결,049520,유아이엘
2016.03(A),1150,6.2,44,30,267,45.31,0.82,2.12,15.5,-17.25,IFRS연결,049520,유아이엘
2016.06(E),1166,10.67,37,25,216,45.64,0.64,1.69,11.54,-26.14,IFRS연결,049520,유아이엘
2016.09(E),1503,10.67,80,63,555,17.72,0.61,4.19,6.48,-24.86,IFRS연결,049520,유아이엘
재무년월,"매출액(억원, %)",YoY,"영업이익(억원, %)","당기순이익(억원, %)",EPS(원),PER(배),PBR(배),ROE(%),EV/EBITDA(배),순부채비율(%),주재무제표,code,name
2015.09(A),121.0,,26.0,19.0,281.0,136.69,4.43,,109.12,-11.5,IFRS연결,189980,흥국에프엔비
2015.12(A),71.0,,5.0,4.0,53.0,673.99,4.11,0.61,264.46,-10.9,IFRS연결,189980,흥국에프엔비
2016.03(A),77.0,1.67,8.0,7.0,90.0,297.12,3.53,1.13,130.12,17.18,IFRS연결,189980,흥국에프엔비
2016.06(E),,,,,,,,,,,IFRS연결,189980,흥국에프엔비
2016.09(E),,,,,,,,,,,IFRS연결,189980,흥국에프엔비
재무년월,"매출액(억원, %)",YoY,"영업이익(억원, %)","당기순이익(억원, %)",EPS(원),PER(배),PBR(배),ROE(%),EV/EBITDA(배),순부채비율(%),주재무제표,code,name
2015.09(A),2.0,1.31,1.0,1.0,74.0,67.51,1.0,1.49,67.29,-0.33,IFRS별도,083610,아시아14호
2015.12(A),2.0,1.36,1.0,1.0,74.0,66.5,0.99,1.49,66.28,-0.36,IFRS별도,083610,아시아14호
2016.03(A),2.0,1.77,1.0,1.0,74.0,64.65,0.95,1.47,64.42,-0.34,IFRS별도,083610,아시아14호
2016.06(E),,,,,,,,,,,IFRS별도,083610,아시아14호
2016.09(E),,,,,,,,,,,IFRS별도,083610,아시아14호
재무년월,"매출액(억원, %)",YoY,"영업이익(억원, %)","당기순이익(억원, %)",EPS(원),PER(배),PBR(배),ROE(%),EV/EBITDA(배),순부채비율(%),주재무제표,code,name
2015.09(A),17298,-3.42,200,-2111,-1017,-6.46,0.53,-8.05,-152.95,139.81,IFRS연결,042670,두산인프라코어
