주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,4020,5195,5471,5532,5643,5957,6664,,007810,코리아써키트
영업이익,49,443,468,326,470,458,588,,007810,코리아써키트
세전계속사업이익,118,565,438,114,168,476,593,,007810,코리아써키트
당기순이익,139,418,340,47,74,368,486,,007810,코리아써키트
당기순이익(지배),140,379,297,5,40,359,379,,007810,코리아써키트
당기순이익(비지배),0,40,43,41,34,,,,007810,코리아써키트
자산총계,4195,4623,5512,5426,5270,5841,6440,,007810,코리아써키트
부채총계,1713,1756,1551,1451,1282,1513,1653,,007810,코리아써키트
자본총계,2482,2867,3961,3974,3988,4328,4786,,007810,코리아써키트
자본총계(지배),2235,2582,3617,3591,3584,3924,4383,,007810,코리아써키트
자본총계(비지배),247,285,344,383,404,,,,007810,코리아써키트
자본금,108,108,137,137,137,137,137,,007810,코리아써키트
영업활동현금흐름,51,888,637,695,616,639,782,,007810,코리아써키트
투자활동현금흐름,-773,-526,-901,-594,-320,-437,-480,,007810,코리아써키트
재무활동현금흐름,596,-164,461,-157,-28,-28,-28,,007810,코리아써키트
CAPEX,321,486,542,440,337,373,427,,007810,코리아써키트
FCF,-270,402,95,256,279,206,307,,007810,코리아써키트
이자발생부채,920,759,484,354,356,,,,007810,코리아써키트
영업이익률,1.21,8.52,8.56,5.89,8.34,7.69,8.82,,007810,코리아써키트
순이익률,3.46,8.05,6.22,0.84,1.31,6.18,7.29,,007810,코리아써키트
ROE(%),8.12,15.72,9.59,0.15,1.1,9.56,9.13,,007810,코리아써키트
ROA(%),4.17,9.49,6.71,0.85,1.39,6.62,7.92,,007810,코리아써키트
부채비율,69.04,61.23,39.17,36.52,32.15,34.96,34.54,,007810,코리아써키트
자본유보율,1950.13,2277.03,2530.14,2511.5,2513.91,,,,007810,코리아써키트
EPS(원),606,1642,1169,20,145,1312,1385,,007810,코리아써키트
PER(배),13.09,12.37,11.16,603.42,74.25,7.07,6.7,,007810,코리아써키트
BPS(원),9693,11199,13216,13119,13095,14337,16014,,007810,코리아써키트
PBR(배),0.82,1.81,0.99,0.91,0.82,0.65,0.58,,007810,코리아써키트
현금DPS(원),0,0,100,100,100,100,100,,007810,코리아써키트
현금배당수익률,0,0,0.77,0.83,0.93,1.08,1.08,,007810,코리아써키트
현금배당성향(%),0,0,9.27,506.29,69.54,0.08,0.07,,007810,코리아써키트
발행주식수(보통주),20094432,20094432,23620751,23620751,23620751,,,,007810,코리아써키트
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,1497,1575,2863,4169,4540,5025,5527,6080,049520,유아이엘
영업이익,-22,79,194,270,241,230,296,373,049520,유아이엘
세전계속사업이익,-39,78,209,316,227,312,383,466,049520,유아이엘
당기순이익,-45,62,173,236,135,185,227,276,049520,유아이엘
당기순이익(지배),-45,62,173,236,135,185,227,276,049520,유아이엘
당기순이익(비지배),,,,,,,,,049520,유아이엘
자산총계,1258,1331,1867,2345,2375,2570,2809,3102,049520,유아이엘
부채총계,248,271,648,969,919,985,1042,1105,049520,유아이엘
자본총계,1011,1060,1219,1376,1456,1584,1766,1997,049520,유아이엘
자본총계(지배),1011,1060,1219,1376,1456,1584,1766,1997,049520,유아이엘
자본총계(비지배),,,,,,,,,049520,유아이엘
자본금,57,57,57,57,57,57,57,57,049520,유아이엘
영업활동현금흐름,107,83,195,374,346,552,445,496,049520,유아이엘
투자활동현금흐름,10,-102,-421,-179,-97,-176,-176,-176,049520,유아이엘
재무활동현금흐름,-58,-18,221,-114,-168,-204,-48,-48,049520,유아이엘
CAPEX,59,45,319,144,216,150,150,150,049520,유아이엘
FCF,48,37,-124,230,130,191,82,130,049520,유아이엘
이자발생부채,48,30,232,246,147,,,,049520,유아이엘
영업이익률,-1.46,4.99,6.78,6.49,5.3,4.57,5.36,6.14,049520,유아이엘
순이익률,-2.99,3.95,6.04,5.67,2.96,3.68,4.11,4.54,049520,유아이엘
ROE(%),-4.33,6.01,15.18,18.2,9.5,12.18,13.55,14.66,049520,유아이엘
ROA(%),-3.37,4.8,10.81,11.21,5.7,7.49,8.44,9.34,049520,유아이엘
부채비율,24.54,25.6,53.21,70.4,63.13,62.18,59.02,55.32,049520,유아이엘
자본유보율,1854.28,1962.01,2241.24,2556.32,2693.22,,,,049520,유아이엘
EPS(원),-393,546,1517,2073,1181,1625,1992,2422,049520,유아이엘
PER(배),-5.77,12.22,6.89,6.32,10.42,6.06,4.94,4.06,049520,유아이엘
BPS(원),9980,10464,12034,14295,15125,16460,18349,20748,049520,유아이엘
PBR(배),0.23,0.64,0.87,0.92,0.81,0.6,0.54,0.47,049520,유아이엘
현금DPS(원),0,100,500,600,620,500,500,500,049520,유아이엘
현금배당수익률,0,1.5,4.78,4.58,5.04,5.08,5.08,5.08,049520,유아이엘
현금배당성향(%),0,16.29,29.29,24.45,44.36,0.31,0.25,0.21,049520,유아이엘
발행주식수(보통주),11392470,11392470,11392470,11392470,11392470,,,,049520,유아이엘
주요재무정보,2011(IFRS별도),2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,,242,303,350,396,471,608,746,189980,흥국에프엔비
영업이익,,43,67,80,86,100,133,166,189980,흥국에프엔비
세전계속사업이익,,39,64,77,83,90,120,150,189980,흥국에프엔비
당기순이익,,33,47,61,66,82,113,136,189980,흥국에프엔비
당기순이익(지배),,33,47,61,66,80,107,136,189980,흥국에프엔비
당기순이익(비지배),,,,,,,,,189980,흥국에프엔비
자산총계,,275,330,411,751,700,810,920,189980,흥국에프엔비
부채총계,,174,182,166,111,110,130,140,189980,흥국에프엔비
자본총계,,101,148,245,640,600,680,780,189980,흥국에프엔비
자본총계(지배),,101,148,245,640,600,680,780,189980,흥국에프엔비
자본총계(비지배),,,,,,,,,189980,흥국에프엔비
자본금,,25,25,27,37,40,40,40,189980,흥국에프엔비
영업활동현금흐름,,32,52,62,66,80,70,100,189980,흥국에프엔비
투자활동현금흐름,,-63,-47,-53,-281,60,-40,-30,189980,흥국에프엔비
재무활동현금흐름,,32,0,12,279,-110,20,10,189980,흥국에프엔비
CAPEX,,47,45,35,138,10,0,0,189980,흥국에프엔비
FCF,,-15,7,27,-73,,,,189980,흥국에프엔비
이자발생부채,,148,148,124,74,,,,189980,흥국에프엔비
영업이익률,,17.96,22.13,22.72,21.69,21.16,21.94,22.18,189980,흥국에프엔비
순이익률,,13.78,15.5,17.46,16.66,17.52,18.6,18.23,189980,흥국에프엔비
ROE(%),,,37.76,31.19,14.92,12.85,16.77,18.63,189980,흥국에프엔비
ROA(%),,,15.52,16.53,11.37,11.37,14.97,15.72,189980,흥국에프엔비
부채비율,,172.54,123.31,67.89,17.29,18.33,19.12,17.95,189980,흥국에프엔비
자본유보율,,494.42,679.04,870.4,1644.04,,,,189980,흥국에프엔비
EPS(원),,680,924,1131,1056,1085,1462,1853,189980,흥국에프엔비
PER(배),,,,,33.96,19.86,14.74,11.63,189980,흥국에프엔비
BPS(원),,1987,2908,4484,8721,8544,9683,11107,189980,흥국에프엔비
PBR(배),,0,0,0,4.11,2.52,2.23,1.94,189980,흥국에프엔비
현금DPS(원),0,0,100,200,200,200,200,200,189980,흥국에프엔비
현금배당수익률,,,,,0.56,0.93,0.93,0.93,189980,흥국에프엔비
현금배당성향(%),,0,10.82,17.41,22.24,0.18,0.14,0.11,189980,흥국에프엔비
발행주식수(보통주),4200000,4200000,4200000,5106250,7341291,,,,189980,흥국에프엔비
주요재무정보,2011/09(GAAP개별),12-Sep,13-Sep,2014/09(IFRS별도),2015/09(IFRS별도),2016/09(E)(IFRS별도),2017/09(E)(IFRS별도),2018/09(E)(IFRS별도),code,name
매출액,7,14,13,7,7,,,,083610,아시아14호
영업이익,6,6,6,6,6,,,,083610,아시아14호
세전계속사업이익,6,6,6,6,6,,,,083610,아시아14호
당기순이익,6,6,6,6,6,,,,083610,아시아14호
당기순이익(지배),6,6,6,6,6,,,,083610,아시아14호
당기순이익(비지배),,,,,,,,,083610,아시아14호
자산총계,94,235,202,98,98,,,,083610,아시아14호
부채총계,1,141,107,1,1,,,,083610,아시아14호
자본총계,93,94,94,97,97,,,,083610,아시아14호
자본총계(지배),93,94,94,97,97,,,,083610,아시아14호
자본총계(비지배),,,,,,,,,083610,아시아14호
자본금,97,97,97,97,97,,,,083610,아시아14호
영업활동현금흐름,6,37,35,6,6,,,,083610,아시아14호
투자활동현금흐름,,,,,,,,,083610,아시아14호
재무활동현금흐름,-6,-37,-35,-6,-6,,,,083610,아시아14호
CAPEX,0,0,0,0,0,,,,083610,아시아14호
FCF,6,37,35,6,6,,,,083610,아시아14호
이자발생부채,,139,106,,,,,,083610,아시아14호
영업이익률,87.27,45.34,50.34,87.89,87.42,,,,083610,아시아14호
순이익률,95.85,45.32,50.35,87.87,87.48,,,,083610,아시아14호
ROE(%),6.8,6.94,6.71,5.9,5.9,,,,083610,아시아14호
ROA(%),6.74,2.56,2.9,5.85,5.85,,,,083610,아시아14호
부채비율,0.83,150.1,113.48,0.84,0.88,,,,083610,아시아14호
자본유보율,-4.24,-3.5,-2.9,0.02,0.02,,,,083610,아시아14호
EPS(원),,333,325,295,295,,,,083610,아시아14호
PER(배),,14.45,14.47,16.61,17.02,,,,083610,아시아14호
BPS(원),4785,4822,4852,5001,5001,,,,083610,아시아14호
PBR(배),0.98,1,0.97,0.98,1,,,,083610,아시아14호
현금DPS(원),301,293,294,295,295,,,,083610,아시아14호
현금배당수익률,6.42,6.09,6.26,6.02,5.88,,,,083610,아시아14호
현금배당성향(%),91.98,88.03,90.59,100,100,,,,083610,아시아14호
발행주식수(보통주),1946194,1946194,1946194,1946194,1946194,,,,083610,아시아14호
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,84631,81584,77368,76886,72130,61042,62113,64385,042670,두산인프라코어
영업이익,6796,3624,3695,4530,274,4481,4820,5047,042670,두산인프라코어
세전계속사업이익,2853,-222,-570,-752,-6641,2834,2461,2904,042670,두산인프라코어
당기순이익,3108,3933,-1010,240,-8595,2806,1728,2041,042670,두산인프라코어
당기순이익(지배),2982,3403,-1018,420,-8191,2437,1489,1698,042670,두산인프라코어
당기순이익(비지배),126,530,8,-180,-404,,,,042670,두산인프라코어
자산총계,117037,115450,114815,119574,113832,107312,107360,105557,042670,두산인프라코어
부채총계,94185,85362,79325,86691,82802,75367,74167,71043,042670,두산인프라코어
자본총계,22852,30088,35490,32883,31030,33265,34935,36759,042670,두산인프라코어
자본총계(지배),18451,24572,29869,27991,20214,21583,23179,24806,042670,두산인프라코어
자본총계(비지배),4401,5516,5622,4892,10816,,,,042670,두산인프라코어
자본금,8428,8433,10373,10373,10373,10326,10372,10371,042670,두산인프라코어
영업활동현금흐름,1172,-4504,4819,2313,2367,10954,7292,7581,042670,두산인프라코어
투자활동현금흐름,-2902,-5271,-5953,-4285,-969,230,-2021,-1799,042670,두산인프라코어
재무활동현금흐름,3286,8111,-802,2814,820,-6357,-750,-93,042670,두산인프라코어
CAPEX,4261,4066,2393,2148,2148,2893,1811,1462,042670,두산인프라코어
FCF,-3089,-8570,2426,165,219,5083,3582,3473,042670,두산인프라코어
이자발생부채,60447,61591,56447,60855,60217,,,,042670,두산인프라코어
영업이익률,8.03,4.44,4.78,5.89,0.38,7.34,7.76,7.84,042670,두산인프라코어
순이익률,3.67,4.82,-1.31,0.31,-11.92,4.6,2.78,3.17,042670,두산인프라코어
ROE(%),18.93,15.82,-3.74,1.45,-33.98,11.66,6.65,7.08,042670,두산인프라코어
ROA(%),2.82,3.38,-0.88,0.2,-7.36,2.54,1.61,1.92,042670,두산인프라코어
부채비율,412.15,283.71,223.51,263.64,266.85,226.57,212.3,193.26,042670,두산인프라코어
자본유보율,112.78,155.82,149.51,148.08,69.5,,,,042670,두산인프라코어
EPS(원),1770,2018,-596,202,-3948,1175,718,819,042670,두산인프라코어
PER(배),10.09,8.42,-21.15,48.05,-1.19,5.69,9.32,8.17,042670,두산인프라코어
BPS(원),10946,14569,14398,13493,9744,10404,11173,11957,042670,두산인프라코어
PBR(배),1.63,1.17,0.88,0.72,0.48,0.64,0.6,0.56,042670,두산인프라코어
현금DPS(원),0,0,0,0,0,0,15,22,042670,두산인프라코어
현금배당수익률,0,0,0,0,0,0,0.22,0.33,042670,두산인프라코어
현금배당성향(%),,0,0,0,0,,0.02,0.03,042670,두산인프라코어
발행주식수(보통주),168555884,168658034,207455314,207455314,207455314,,,,042670,두산인프라코어
주요재무정보,Unnamed: 1,Unnamed: 2,Unnamed: 3,2014(IFRS별도),2015(IFRS별도),2016(E)(IFRS별도),2017(E)(IFRS별도),2018(E)(IFRS별도),code,name
매출액,,,,0,0,,,,208370,하나머스트2호스팩
영업이익,,,,0,0,,,,208370,하나머스트2호스팩
세전계속사업이익,,,,0,2,,,,208370,하나머스트2호스팩
당기순이익,,,,0,2,,,,208370,하나머스트2호스팩
당기순이익(지배),,,,0,2,,,,208370,하나머스트2호스팩
당기순이익(비지배),,,,0,0,,,,208370,하나머스트2호스팩
자산총계,,,,114,116,,,,208370,하나머스트2호스팩
부채총계,,,,11,11,,,,208370,하나머스트2호스팩
자본총계,,,,103,104,,,,208370,하나머스트2호스팩
자본총계(지배),,,,103,104,,,,208370,하나머스트2호스팩
자본총계(비지배),,,,,,,,,208370,하나머스트2호스팩
자본금,,,,5,5,,,,208370,하나머스트2호스팩
영업활동현금흐름,,,,0,2,,,,208370,하나머스트2호스팩
투자활동현금흐름,,,,-100,-2,,,,208370,하나머스트2호스팩
재무활동현금흐름,,,,110,0,,,,208370,하나머스트2호스팩
CAPEX,,,,0,0,,,,208370,하나머스트2호스팩
FCF,,,,,,,,,208370,하나머스트2호스팩
이자발생부채,,,,11,11,,,,208370,하나머스트2호스팩
영업이익률,,,,,,,,,208370,하나머스트2호스팩
순이익률,,,,,,,,,208370,하나머스트2호스팩
ROE(%),,,,,1.61,,,,208370,하나머스트2호스팩
ROA(%),,,,,1.45,,,,208370,하나머스트2호스팩
부채비율,,,,10.99,10.91,,,,208370,하나머스트2호스팩
자본유보율,,,,1803.52,1834.43,,,,208370,하나머스트2호스팩
EPS(원),,,,-13,31,,,,208370,하나머스트2호스팩
PER(배),,,,-152.17,64.71,,,,208370,하나머스트2호스팩
BPS(원),,,,1904,1934,,,,208370,하나머스트2호스팩
PBR(배),,,,1.05,1.03,,,,208370,하나머스트2호스팩
현금DPS(원),,,,0,0,,,,208370,하나머스트2호스팩
현금배당수익률,,,,0,0,,,,208370,하나머스트2호스팩
현금배당성향(%),,,,0,0,,,,208370,하나머스트2호스팩
발행주식수(보통주),,,,5400000,5400000,,,,208370,하나머스트2호스팩
주요재무정보,2011,2012,2013,2014,2015,2016(E),2017(E),2018(E),code,name
매출액,972,885,1012,1096,1143,,,,036690,코맥스
영업이익,101,89,97,75,73,,,,036690,코맥스
세전계속사업이익,81,74,87,68,72,,,,036690,코맥스
당기순이익,57,51,77,45,58,,,,036690,코맥스
당기순이익(지배),57,51,77,45,58,,,,036690,코맥스
당기순이익(비지배),0,0,0,0,0,,,,036690,코맥스
자산총계,851,773,835,858,891,,,,036690,코맥스
부채총계,545,426,425,415,399,,,,036690,코맥스
자본총계,305,347,410,442,493,,,,036690,코맥스
자본총계(지배),305,346,408,441,491,,,,036690,코맥스
자본총계(비지배),1,1,1,1,2,,,,036690,코맥스
자본금,66,66,66,66,67,,,,036690,코맥스
영업활동현금흐름,127,117,79,111,70,,,,036690,코맥스
투자활동현금흐름,-5,-11,-16,-35,-22,,,,036690,코맥스
재무활동현금흐름,-121,-122,-83,-76,-36,,,,036690,코맥스
CAPEX,11,6,15,13,14,,,,036690,코맥스
FCF,116,111,64,98,56,,,,036690,코맥스
이자발생부채,379,268,194,130,97,,,,036690,코맥스
영업이익률,10.4,10.1,9.58,6.83,6.41,,,,036690,코맥스
순이익률,5.85,5.77,7.63,4.08,5.1,,,,036690,코맥스
ROE(%),20.59,15.66,20.36,10.49,12.42,,,,036690,코맥스
ROA(%),6.49,6.3,9.6,5.28,6.67,,,,036690,코맥스
부채비율,178.46,123.04,103.81,93.95,80.94,,,,036690,코맥스
자본유보율,240.76,298.71,395.56,441.13,504.17,,,,036690,코맥스
EPS(원),415,371,559,324,421,,,,036690,코맥스
PER(배),4.93,6.86,4.54,16.9,15.55,,,,036690,코맥스
BPS(원),2254,2557,3020,3259,3628,,,,036690,코맥스
PBR(배),0.91,1,0.84,1.68,1.81,,,,036690,코맥스
현금DPS(원),96,96,96,48,49,,,,036690,코맥스
현금배당수익률,4.7,3.78,3.79,0.88,0.75,,,,036690,코맥스
현금배당성향(%),22.82,25.52,16.93,14.6,11.46,,,,036690,코맥스
발행주식수(보통주),13733612,13733612,13733612,13733612,13733612,,,,036690,코맥스
주요재무정보,2011(IFRS별도),2012(IFRS별도),2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(E)(IFRS별도),2017(E)(IFRS별도),2018(E)(IFRS별도),code,name
매출액,1184,1199,989,854,727,,,,036560,영풍정밀
영업이익,205,133,94,100,65,,,,036560,영풍정밀
세전계속사업이익,223,165,116,124,112,,,,036560,영풍정밀
당기순이익,172,131,92,100,91,,,,036560,영풍정밀
당기순이익(지배),172,131,92,100,91,,,,036560,영풍정밀
당기순이익(비지배),,,,,,,,,036560,영풍정밀
자산총계,2925,3312,3176,3478,3591,,,,036560,영풍정밀
부채총계,674,708,595,636,617,,,,036560,영풍정밀
자본총계,2252,2604,2581,2842,2974,,,,036560,영풍정밀
자본총계(지배),2252,2604,2581,2842,2974,,,,036560,영풍정밀
자본총계(비지배),,,,,,,,,036560,영풍정밀
자본금,79,79,79,79,79,,,,036560,영풍정밀
영업활동현금흐름,104,-7,197,134,161,,,,036560,영풍정밀
투자활동현금흐름,-88,15,-165,-85,-201,,,,036560,영풍정밀
재무활동현금흐름,-13,-13,-13,-13,-19,,,,036560,영풍정밀
CAPEX,25,127,155,135,68,,,,036560,영풍정밀
FCF,79,-134,42,-1,93,,,,036560,영풍정밀
이자발생부채,2,2,2,2,,,,,036560,영풍정밀
영업이익률,17.28,11.11,9.52,11.69,8.99,,,,036560,영풍정밀
순이익률,14.52,10.9,9.31,11.71,12.51,,,,036560,영풍정밀
ROE(%),9.15,5.38,3.55,3.69,3.13,,,,036560,영풍정밀
ROA(%),7.16,4.19,2.84,3,2.57,,,,036560,영풍정밀
부채비율,29.92,27.17,23.05,22.37,20.75,,,,036560,영풍정밀
자본유보율,1119.57,1269.14,1371.59,1476.94,1564.76,,,,036560,영풍정밀
EPS(원),1092,829,584,635,578,,,,036560,영풍정밀
PER(배),8.79,13.08,16.64,15.13,14.9,,,,036560,영풍정밀
BPS(원),14296,16536,16386,18046,18880,,,,036560,영풍정밀
