재무년월,"매출액(억원, %)",YoY,"영업이익(억원, %)","당기순이익(억원, %)",EPS(원),PER(배),PBR(배),ROE(%),EV/EBITDA(배),순부채비율(%),주재무제표,code,name
2013(A),5471,5.3,468,297,1169,11.16,0.99,9.59,3.83,-0.68,IFRS연결,007810,코리아써키트
2014(A),5532,1.12,326,5,20,603.42,0.91,0.15,5.2,-5.07,IFRS연결,007810,코리아써키트
2015(A),5643,2.02,470,40,145,74.25,0.82,1.1,3.64,-10.99,IFRS연결,007810,코리아써키트
2016(E),5957,5.56,458,359,1312,7.07,0.65,9.56,1.94,-14.3,IFRS연결,007810,코리아써키트
2017(E),6664,11.86,588,379,1385,6.7,0.58,9.12,1.4,-18.78,IFRS연결,007810,코리아써키트
재무년월,"매출액(억원, %)",YoY,"영업이익(억원, %)","당기순이익(억원, %)",EPS(원),PER(배),PBR(배),ROE(%),EV/EBITDA(배),순부채비율(%),주재무제표,code,name
2013(A),2863,81.81,194,173,1517,6.89,0.87,15.18,4.16,-8.35,IFRS연결,049520,유아이엘
2014(A),4169,45.58,270,236,2073,6.32,0.92,18.2,3.26,-15.4,IFRS연결,049520,유아이엘
2015(A),4540,8.92,241,135,1181,10.42,0.81,9.5,3.21,-23.12,IFRS연결,049520,유아이엘
2016(E),5025,10.67,230,185,1625,6.06,0.6,12.18,1.48,-38.53,IFRS연결,049520,유아이엘
2017(E),5527,10.0,296,227,1992,4.94,0.54,13.55,0.92,-41.88,IFRS연결,049520,유아이엘
재무년월,"매출액(억원, %)",YoY,"영업이익(억원, %)","당기순이익(억원, %)",EPS(원),PER(배),PBR(배),ROE(%),EV/EBITDA(배),순부채비율(%),주재무제표,code,name
2013(A),303,25.3,67,47,924,,0.0,37.76,,95.29,IFRS연결,189980,흥국에프엔비
2014(A),350,15.79,80,61,1131,,0.0,31.19,,39.44,IFRS연결,189980,흥국에프엔비
2015(A),396,13.11,86,66,1056,33.96,4.11,14.92,24.12,-10.9,IFRS연결,189980,흥국에프엔비
2016(E),471,18.83,100,80,1085,19.86,2.52,12.85,11.58,-13.33,IFRS연결,189980,흥국에프엔비
2017(E),608,29.02,133,107,1462,14.74,2.23,16.77,8.89,-19.12,IFRS연결,189980,흥국에프엔비
재무년월,"매출액(억원, %)",YoY,"영업이익(억원, %)","당기순이익(억원, %)",EPS(원),PER(배),PBR(배),ROE(%),EV/EBITDA(배),순부채비율(%),주재무제표,code,name
2013(A),13.0,-12.29,6.0,6.0,325.0,14.47,0.97,6.71,31.18,111.79,IFRS연결,083610,아시아14호
2014(A),7.0,,6.0,6.0,295.0,16.61,0.98,5.9,16.56,-0.29,IFRS별도,083610,아시아14호
2015(A),7.0,0.45,6.0,6.0,295.0,17.02,1.0,5.9,16.96,-0.33,IFRS별도,083610,아시아14호
2016(E),,,,,,,,,,,IFRS별도,083610,아시아14호
2017(E),,,,,,,,,,,IFRS별도,083610,아시아14호
재무년월,"매출액(억원, %)",YoY,"영업이익(억원, %)","당기순이익(억원, %)",EPS(원),PER(배),PBR(배),ROE(%),EV/EBITDA(배),순부채비율(%),주재무제표,code,name
2013(A),77368,-5.17,3695,-1018,-596,-21.15,0.88,-3.74,14.69,137.51,IFRS연결,042670,두산인프라코어
2014(A),76886,-0.62,4530,420,202,48.05,0.72,1.45,14.86,157.49,IFRS연결,042670,두산인프라코어
2015(A),72130,-6.19,274,-8191,-3948,-1.19,0.48,-33.98,-60.02,163.7,IFRS연결,042670,두산인프라코어
2016(E),61042,-15.37,4481,2437,1175,5.69,0.64,11.66,5.07,131.14,IFRS연결,042670,두산인프라코어
2017(E),62113,1.75,4820,1489,718,9.32,0.6,6.65,4.77,118.04,IFRS연결,042670,두산인프라코어
